ID_Aluno,Idade,Horas_Estudo_Semana,Pontuacao_Prova_Final,Aprovado
242,24,21,49,False
243,23,32,74,True
244,21,25,55,False
245,19,7,12,False
246,18,22,50,False
247,20,16,31,False
248,22,27,76,True
249,22,33,86,True
250,22,6,6,False
251,24,32,77,True
252,20,19,51,False
253,22,6,22,False
254,20,11,30,False
255,23,32,83,True
256,21,11,18,False
257,20,35,91,True
258,22,19,49,False
259,21,13,40,False
260,22,28,76,True
261,23,15,41,False
262,23,28,66,True
263,23,33,86,True
264,20,35,78,True
265,23,15,45,False
266,21,13,32,False
267,19,13,37,False
268,22,21,59,False
269,23,20,55,False
270,18,37,90,True
271,23,6,12,False
272,23,22,64,True
273,23,5,21,False
274,18,22,65,True
275,23,23,64,True
276,24,19,55,False
277,24,5,13,False
278,23,17,44,False
279,23,19,47,False
280,24,14,28,False
281,20,26,69,True
282,19,35,88,True
283,20,15,40,False
284,21,8,28,False
285,23,24,64,True
286,21,29,75,True
287,21,5,5,False
288,19,35,93,True
289,22,24,56,False
290,23,37,89,True
291,23,32,87,True
292,18,36,83,True
293,21,9,30,False
294,21,39,100,True
295,22,12,28,False
296,23,22,59,False
297,20,36,80,True
298,24,22,52,False
299,22,29,82,True
300,18,31,72,True
301,19,25,61,True
302,21,28,69,True
303,20,10,26,False
304,22,24,54,False
305,21,20,56,False
306,21,7,21,False
307,18,20,47,False
308,23,20,57,False
309,21,14,42,False
310,23,19,52,False
311,18,25,68,True
312,19,14,42,False
313,23,38,90,True
314,23,33,77,True
315,23,30,75,True
316,19,36,80,True
317,18,35,80,True
318,21,17,35,False
319,18,32,70,True
320,24,11,34,False
321,24,28,66,True
322,22,32,72,True
323,22,27,67,True
324,18,5,18,False
325,21,27,68,True
326,18,11,32,False
327,23,20,49,False
328,22,15,35,False
329,22,15,35,False
330,23,5,3,False
331,20,20,53,False
332,20,19,56,False
333,20,23,66,True
334,22,18,42,False
335,19,38,91,True
336,18,25,67,True
337,20,35,83,True
338,22,29,64,True
339,22,11,18,False
340,20,21,46,False
341,23,8,19,False
342,18,31,85,True
343,22,27,74,True
344,18,33,81,True
345,19,21,48,False
346,20,28,70,True
347,22,39,89,True
348,23,21,47,False
349,20,12,40,False
350,19,33,82,True
351,18,24,68,True
352,21,11,37,False
353,23,14,29,False
354,19,17,36,False
355,24,24,53,False
356,19,22,63,True
357,18,38,100,True
358,21,27,59,False
359,19,39,100,True
360,24,9,28,False
361,18,13,27,False
362,19,14,43,False
363,24,36,93,True
364,18,26,65,True
365,18,25,57,False
366,21,26,73,True
367,18,16,35,False
368,18,20,45,False
369,24,38,89,True
370,18,18,52,False
371,21,32,75,True
372,18,9,27,False
373,21,7,26,False
374,24,12,32,False
375,22,33,74,True
376,23,21,59,False
377,23,35,79,True
378,24,17,37,False
379,21,22,55,False
380,24,16,50,False
381,21,39,100,True
382,24,33,84,True
383,23,22,55,False
384,24,14,29,False
385,24,39,93,True
386,18,10,26,False
387,22,5,22,False
388,21,14,28,False
389,21,29,80,True
390,24,15,37,False
391,20,7,17,False
392,21,14,36,False
393,19,11,22,False
394,20,13,37,False
395,22,22,51,False
396,24,21,51,False
397,18,24,54,False
398,22,14,35,False
399,21,5,20,False
400,20,22,62,True
401,23,19,52,False
402,21,22,54,False
403,20,6,12,False
404,20,7,19,False
405,22,11,27,False
406,21,5,6,False
407,23,27,59,False
408,21,13,37,False
409,20,5,12,False
410,21,34,79,True
411,18,18,42,False
412,20,20,54,False
413,23,12,29,False
414,19,33,82,True
415,19,22,55,False
416,24,31,73,True
417,20,37,94,True
418,23,8,19,False
419,23,27,61,True
420,22,23,66,True
421,20,17,50,False
422,23,8,26,False
423,18,5,22,False
424,21,17,40,False
425,19,11,37,False
426,23,18,41,False
427,21,31,75,True
428,22,25,62,True
429,19,24,56,False
430,24,5,3,False
431,19,37,96,True
432,21,35,78,True
433,24,28,72,True
434,23,23,60,True
435,20,37,92,True
436,24,11,22,False
437,19,33,83,True
438,22,16,47,False
439,22,32,82,True
440,24,30,66,True
441,21,34,91,True
442,20,34,93,True
443,24,27,58,False
444,22,34,93,True
445,19,18,45,False
446,23,16,42,False
447,22,24,59,False
448,18,8,22,False
449,23,19,41,False
450,22,34,93,True
451,20,5,12,False
452,23,19,45,False
453,24,19,50,False
454,22,30,69,True
455,20,29,64,True
456,19,20,47,False
457,19,39,100,True
458,21,36,85,True
459,21,17,38,False
460,23,11,34,False
461,24,34,76,True
462,19,39,100,True
463,21,35,88,True
464,20,33,73,True
465,24,8,19,False
466,21,21,58,False
467,22,36,94,True
468,21,17,37,False
469,22,24,54,False
470,23,28,78,True
471,18,38,86,True
472,24,6,24,False
473,24,7,15,False
474,21,27,60,True
475,18,23,60,True
476,18,5,5,False
477,23,24,51,False
478,24,20,46,False
479,18,37,98,True
480,18,32,80,True
481,23,13,38,False
482,21,32,73,True
483,19,32,81,True
484,23,33,92,True
485,24,33,74,True
486,24,26,67,True
487,24,16,49,False
488,22,15,36,False
489,24,39,98,True
490,21,12,37,False
491,22,17,36,False
492,24,21,62,True
493,24,21,46,False
494,23,18,40,False
495,20,5,15,False
496,22,18,53,False
497,21,9,24,False
498,21,8,27,False
499,21,31,76,True
500,19,39,95,True
501,22,27,61,True
502,21,15,45,False
503,22,19,56,False
504,22,14,34,False
505,19,16,36,False
506,24,35,91,True
507,22,19,38,False
508,23,39,89,True
509,22,25,66,True
510,18,9,13,False
511,22,28,62,True
512,23,29,63,True
513,18,27,75,True
514,20,12,23,False
515,18,34,87,True
516,22,17,43,False
517,21,24,57,False
518,24,36,91,True
519,21,24,68,True
520,24,38,86,True
521,18,5,11,False
522,23,26,74,True
523,19,27,58,False
524,21,32,76,True
525,19,19,43,False
526,20,31,69,True
527,23,33,87,True
528,23,7,15,False
529,22,32,88,True
530,24,32,72,True
531,21,31,86,True
532,18,14,28,False
533,21,34,80,True
534,24,30,77,True
535,24,28,75,True
536,23,18,43,False
537,23,18,44,False
538,18,32,81,True
539,20,15,45,False
540,20,37,98,True
541,18,36,98,True
542,23,14,40,False
543,23,37,86,True
544,22,32,74,True
545,23,33,91,True
546,18,18,51,False
547,21,35,82,True
548,18,21,60,True
549,18,8,16,False
550,21,12,25,False
551,19,34,80,True
552,18,29,73,True
553,23,11,21,False
554,20,14,27,False
555,21,5,4,False
556,24,32,70,True
557,19,9,15,False
558,22,8,23,False
559,20,14,38,False
560,23,34,93,True
561,23,36,84,True
562,21,32,75,True
563,22,19,53,False
564,24,14,35,False
565,19,22,46,False
566,18,19,41,False
567,23,12,27,False
568,19,22,51,False
569,21,6,21,False
570,23,27,63,True
571,22,23,63,True
572,23,29,69,True
573,20,36,87,True
574,18,29,79,True
575,18,12,39,False
576,23,21,49,False
577,20,20,42,False
578,19,16,39,False
579,23,8,27,False
580,21,18,53,False
581,21,37,100,True
582,22,22,58,False
583,21,29,73,True
584,18,33,75,True
585,18,21,60,True
586,21,38,92,True
587,24,16,39,False
588,20,23,59,False
589,20,26,62,True
590,19,35,94,True
591,18,23,52,False
592,18,27,63,True
593,21,38,100,True
594,24,18,48,False
595,22,10,27,False
596,23,9,25,False
597,23,24,60,True
598,24,16,35,False
599,18,24,65,True
600,18,13,31,False
601,21,26,69,True
602,21,35,83,True
603,18,34,76,True
604,19,12,33,False
605,19,14,41,False
606,23,7,15,False
607,21,25,54,False
608,20,17,33,False
609,23,23,54,False
610,24,38,87,True
611,24,11,31,False
612,21,32,89,True
613,20,32,81,True
614,23,17,48,False
615,20,20,58,False
616,19,35,94,True
617,18,37,98,True
618,20,24,59,False
619,22,25,60,True
620,19,8,22,False
621,18,29,74,True
622,22,26,61,True
623,21,34,81,True
624,21,21,54,False
625,23,21,57,False
626,18,35,89,True
627,24,8,13,False
628,23,15,46,False
629,19,15,33,False
630,20,38,97,True
631,19,11,29,False
632,22,17,36,False
633,23,12,37,False
634,24,31,75,True
635,19,8,27,False
636,18,6,19,False
637,18,21,58,False
638,24,17,46,False
639,19,12,33,False
640,24,18,43,False
641,23,9,30,False
642,22,38,88,True
643,24,19,50,False
644,23,15,28,False
645,23,26,57,False
646,18,20,46,False
647,22,22,63,True
648,18,37,83,True
649,24,24,59,False
650,24,28,74,True
651,21,37,96,True
652,24,28,61,True
653,20,26,72,True
654,22,19,47,False
655,21,8,18,False
656,21,29,78,True
657,20,21,45,False
658,24,34,89,True
659,21,39,95,True
660,20,33,80,True
661,24,16,42,False
662,22,22,50,False
663,18,34,77,True
664,21,38,100,True
665,18,37,97,True
666,22,14,35,False
667,21,26,74,True
668,23,30,73,True
669,21,39,99,True
670,20,6,5,False
671,21,12,40,False
672,19,23,63,True
673,18,17,41,False
674,21,28,78,True
675,20,26,66,True
676,18,15,36,False
677,23,31,76,True
678,18,9,29,False
679,18,7,26,False
680,23,13,24,False
681,21,28,66,True
682,24,23,57,False
683,24,32,81,True
684,20,19,55,False
685,22,7,24,False
686,24,12,39,False
687,20,33,75,True
688,23,27,66,True
689,21,39,91,True
690,19,19,53,False
691,24,15,39,False
692,22,34,76,True
693,19,11,32,False
694,18,10,33,False
695,20,24,54,False
696,23,32,74,True
697,21,26,63,True
698,21,8,29,False
699,20,36,82,True
700,24,18,46,False
701,24,36,89,True
702,21,39,95,True
703,19,18,39,False
704,18,10,30,False
705,22,30,68,True
706,21,11,18,False
707,21,27,68,True
708,23,23,54,False
709,23,16,41,False
710,22,30,69,True
711,21,7,24,False
712,23,38,99,True
713,22,35,93,True
714,22,34,88,True
715,22,8,27,False
716,23,30,71,True
717,21,22,63,True
718,21,7,17,False
719,19,34,78,True
720,22,31,87,True
721,18,36,97,True
722,23,35,94,True
723,23,31,70,True
724,21,37,94,True
725,21,22,64,True
726,24,26,61,True
727,23,7,27,False
728,24,13,38,False
729,18,38,95,True
730,24,17,44,False
731,21,37,93,True
732,20,5,12,False
733,23,20,48,False
734,20,21,44,False
735,18,23,55,False
736,21,24,62,True
737,24,9,20,False
738,22,25,63,True
739,18,16,45,False
740,18,25,60,True
741,24,39,96,True
742,18,10,21,False
743,22,8,25,False
744,22,32,88,True
745,20,25,72,True
746,24,29,65,True
747,18,16,31,False
748,19,25,61,True
749,19,17,39,False
750,24,14,32,False
751,23,7,26,False
752,20,19,49,False
753,20,34,94,True
754,23,23,63,True
755,19,11,36,False
756,24,20,52,False
757,23,5,15,False
758,23,11,22,False
759,20,35,89,True
760,21,31,74,True
761,24,38,93,True
762,19,24,69,True
763,21,36,83,True
764,24,9,23,False
765,24,27,67,True
766,21,26,71,True
767,20,35,90,True
768,21,9,22,False
769,20,19,43,False
770,23,38,94,True
771,23,39,91,True
772,24,29,70,True
773,18,31,75,True
774,21,16,45,False
775,23,38,93,True
776,23,28,61,True
777,18,26,70,True
778,18,33,73,True
779,24,31,73,True
780,19,10,31,False
781,21,25,67,True
782,19,25,70,True
783,21,10,20,False
784,21,16,38,False
785,22,24,65,True
786,21,20,43,False
787,21,5,21,False
788,20,35,81,True
789,21,10,15,False
790,20,9,20,False
791,24,20,56,False
792,23,20,42,False
793,24,22,59,False
794,24,30,74,True
795,18,29,73,True
796,19,9,13,False
797,21,37,84,True
798,21,20,51,False
799,18,24,55,False
800,24,28,79,True
801,23,31,78,True
802,24,29,76,True
803,23,10,34,False
804,22,13,27,False
805,24,17,45,False
806,19,11,37,False
807,24,33,84,True
808,19,16,37,False
809,22,32,72,True
810,24,7,10,False
811,22,26,71,True
812,21,31,78,True
813,24,36,93,True
814,24,10,20,False
815,24,28,73,True
816,18,27,73,True
817,19,26,57,False
818,22,32,83,True
819,24,8,10,False
820,19,36,83,True
821,24,9,16,False
822,23,28,66,True
823,19,15,40,False
824,21,22,47,False
825,20,25,60,True
826,23,12,38,False
827,20,36,89,True
828,18,7,23,False
829,24,26,56,False
830,23,6,16,False
831,18,21,51,False
832,20,33,88,True
833,18,17,43,False
834,24,16,39,False
835,20,17,40,False
836,21,38,100,True
837,19,30,77,True
838,19,22,60,True
839,20,16,39,False
840,24,17,45,False
841,20,6,20,False
842,19,26,72,True
843,20,12,39,False
844,20,6,11,False
845,24,37,91,True
846,22,17,37,False
847,22,29,76,True
848,22,28,70,True
849,21,30,65,True
850,24,25,54,False
851,19,24,57,False
852,19,18,52,False
853,18,21,46,False
854,23,14,41,False
855,21,39,94,True
856,19,12,23,False
857,18,8,19,False
858,24,29,71,True
859,18,33,80,True
860,23,20,44,False
861,19,8,16,False
862,21,15,43,False
863,23,27,63,True
864,22,7,16,False
865,23,18,35,False
866,21,13,29,False
867,21,24,66,True
868,24,9,27,False
869,20,20,57,False
870,23,10,18,False
871,20,25,62,True
872,23,33,84,True
873,23,10,19,False
874,23,8,15,False
875,24,32,84,True
876,20,32,71,True
877,21,35,86,True
878,18,20,48,False
879,23,25,72,True
880,23,9,20,False
881,19,33,82,True
882,21,19,51,False
883,19,23,51,False
884,22,28,74,True
885,20,23,64,True
886,19,16,35,False
887,18,26,57,False
888,18,33,75,True
889,22,12,25,False
890,22,38,90,True
891,24,10,22,False
892,20,25,63,True
893,18,17,35,False
894,23,26,68,True
895,19,11,29,False
896,24,16,39,False
897,24,12,21,False
898,18,38,89,True
899,23,32,77,True
900,21,20,42,False
901,18,15,29,False
902,24,24,53,False
903,24,16,34,False
904,18,25,56,False
905,22,7,11,False
906,23,34,83,True
907,23,13,30,False
908,19,33,78,True
909,23,11,33,False
910,22,14,32,False
911,21,7,15,False
912,21,21,54,False
913,18,21,44,False
914,24,25,61,True
915,24,28,71,True
916,19,24,65,True
917,24,36,85,True
918,24,39,99,True
919,23,26,67,True
920,22,16,30,False
921,23,8,19,False
922,23,27,72,True
923,19,29,63,True
924,18,11,18,False
925,22,17,47,False
926,19,10,16,False
927,18,14,38,False
928,24,11,31,False
929,24,36,97,True
930,18,37,100,True
931,20,28,78,True
932,20,37,88,True
933,18,36,84,True
934,24,17,39,False
935,23,27,62,True
936,20,20,42,False
937,22,25,64,True
938,21,15,47,False
939,19,27,65,True
940,22,36,86,True
941,20,36,81,True
942,19,19,40,False
943,21,14,27,False
944,22,9,19,False
945,24,20,59,False
946,24,31,79,True
947,21,14,44,False
948,24,21,51,False
949,23,19,52,False
950,19,32,77,True
951,23,13,36,False
952,24,32,75,True
953,19,7,24,False
954,21,24,68,True
955,18,8,18,False
956,23,39,91,True
957,23,39,100,True
958,24,6,25,False
959,24,7,27,False
960,20,23,63,True
961,21,10,18,False
962,24,17,37,False
963,22,30,66,True
964,24,29,69,True
965,24,7,22,False
966,19,39,100,True
967,23,31,76,True
968,20,23,67,True
969,22,10,22,False
970,19,15,43,False
971,20,39,100,True
972,21,17,49,False
973,23,24,68,True
974,19,12,25,False
975,23,18,43,False
976,21,24,61,True
977,23,27,72,True
978,24,32,81,True
979,23,33,79,True
980,20,39,95,True
981,18,30,65,True
982,20,28,68,True
983,20,7,26,False
984,20,38,91,True
985,19,28,74,True
986,18,30,68,True
987,23,7,17,False
988,23,35,79,True
989,21,22,61,True
990,21,24,54,False
991,23,21,49,False
992,22,21,61,True
993,21,39,90,True
994,22,15,31,False
995,23,17,41,False
996,20,32,89,True
997,20,25,68,True
998,18,25,54,False
999,21,18,50,False
1000,21,36,84,True
1001,24,10,28,False
1002,22,34,90,True
1003,23,18,46,False
1004,18,29,63,True
1005,19,26,61,True
1006,23,14,43,False
1007,23,33,80,True
1008,18,16,33,False
1009,19,26,63,True
1010,23,18,38,False
1011,19,38,94,True
1012,23,11,19,False
1013,19,22,59,False
1014,23,24,59,False
1015,19,23,62,True
1016,21,34,82,True
1017,20,6,11,False
1018,18,36,97,True
1019,18,30,69,True
1020,20,37,100,True
1021,22,35,96,True
1022,24,33,89,True
1023,23,29,69,True
1024,24,13,25,False
1025,19,16,31,False
1026,23,11,35,False
1027,21,35,94,True
1028,19,26,58,False
1029,21,33,76,True
1030,24,13,28,False
1031,22,23,48,False
1032,22,6,12,False
1033,23,20,52,False
1034,20,9,27,False
1035,21,11,35,False
1036,19,25,54,False
1037,23,12,37,False
1038,22,7,20,False
1039,18,28,71,True
1040,22,31,77,True
1041,24,21,57,False
1042,21,28,77,True
1043,19,30,70,True
1044,22,33,77,True
1045,23,5,19,False
1046,21,30,76,True
1047,21,35,97,True
1048,18,18,36,False
1049,18,15,36,False
1050,18,19,46,False
1051,20,27,66,True
1052,21,28,62,True
1053,19,13,29,False
1054,23,24,62,True
1055,23,35,93,True
1056,23,8,24,False
1057,22,36,97,True
1058,23,5,12,False
1059,21,32,73,True
1060,23,12,38,False
1061,21,24,56,False
1062,21,18,42,False
1063,21,27,74,True
1064,20,6,13,False
1065,23,18,48,False
1066,22,36,84,True
1067,21,39,88,True
1068,24,5,21,False
1069,21,29,82,True
1070,22,13,38,False
1071,24,36,99,True
1072,21,13,34,False
1073,22,28,76,True
1074,20,27,75,True
1075,22,36,85,True
1076,18,38,100,True
1077,24,25,72,True
1078,22,16,47,False
1079,22,9,17,False
1080,18,25,69,True
1081,20,35,89,True
1082,24,25,68,True
1083,23,19,45,False
1084,21,31,78,True
1085,18,12,27,False
1086,21,27,63,True
1087,24,24,53,False
1088,20,38,95,True
1089,24,14,25,False
1090,18,8,12,False
1091,23,13,25,False
1092,23,35,82,True
1093,22,27,58,False
1094,20,9,20,False
1095,20,7,23,False
1096,23,12,31,False
1097,23,27,69,True
1098,20,8,23,False
1099,24,18,36,False
1100,21,7,8,False
1101,24,9,22,False
1102,21,21,46,False
1103,18,15,36,False
1104,19,6,17,False
1105,21,15,37,False
1106,24,18,39,False
1107,19,8,15,False
1108,19,19,53,False
1109,22,22,55,False
1110,21,36,90,True
1111,20,13,31,False
1112,22,8,18,False
1113,23,12,31,False
1114,18,7,9,False
1115,22,27,60,True
1116,20,36,83,True
1117,23,25,72,True
1118,19,31,78,True
1119,21,7,22,False
1120,22,8,21,False
1121,21,25,53,False
1122,18,9,20,False
1123,22,16,41,False
1124,24,32,86,True
1125,18,39,100,True
1126,21,10,30,False
1127,22,13,41,False
1128,19,16,41,False
1129,20,30,72,True
1130,23,16,49,False
1131,24,25,54,False
1132,19,19,46,False
1133,23,37,84,True
1134,22,37,95,True
1135,20,9,19,False
1136,23,9,13,False
1137,22,34,83,True
1138,24,35,97,True
1139,24,7,8,False
1140,23,16,42,False
1141,18,30,78,True
1142,20,29,66,True
1143,20,22,56,False
1144,20,20,52,False
1145,23,5,16,False
1146,22,39,93,True
1147,21,20,48,False
1148,23,17,43,False
1149,20,32,86,True
1150,24,35,84,True
1151,24,14,41,False
1152,21,36,87,True
1153,21,20,42,False
1154,20,13,41,False
1155,18,37,83,True
1156,22,17,49,False
1157,24,28,80,True
1158,21,33,87,True
1159,23,20,47,False
1160,20,13,32,False
1161,24,21,55,False
1162,22,23,62,True
1163,20,31,81,True
1164,19,36,97,True
1165,22,30,78,True
1166,19,38,89,True
1167,22,39,98,True
1168,20,25,60,True
1169,19,21,47,False
1170,18,26,75,True
1171,22,34,92,True
1172,18,13,42,False
1173,18,13,30,False
1174,24,11,32,False
1175,22,8,25,False
1176,21,7,27,False
1177,18,35,78,True
1178,21,31,80,True
1179,20,5,13,False
1180,20,26,68,True
1181,18,27,63,True
1182,21,24,52,False
1183,23,13,26,False
1184,22,6,18,False
1185,24,30,66,True
1186,22,12,25,False
1187,18,23,57,False
1188,24,9,16,False
1189,24,10,28,False
1190,19,34,84,True
1191,23,35,91,True
1192,19,13,25,False
1193,23,7,10,False
1194,23,28,64,True
1195,23,15,40,False
1196,18,27,73,True
1197,19,25,54,False
1198,19,30,81,True
1199,22,15,31,False
1200,23,6,19,False
1201,23,6,11,False
1202,20,20,60,True
1203,20,13,40,False
1204,23,9,16,False
1205,22,15,42,False
1206,22,35,81,True
1207,21,12,24,False
1208,20,16,36,False
1209,18,30,80,True
1210,21,14,45,False
1211,23,33,75,True
1212,23,5,14,False
1213,18,15,29,False
1214,19,25,53,False
1215,21,10,32,False
1216,22,18,43,False
1217,23,8,26,False
1218,18,26,63,True
1219,23,26,62,True
1220,18,37,93,True
1221,24,10,21,False
1222,20,11,26,False
1223,23,33,90,True
1224,22,11,26,False
1225,20,7,13,False
1226,20,31,75,True
1227,20,26,67,True
1228,23,10,32,False
1229,18,39,99,True
1230,22,23,66,True
1231,21,31,77,True
1232,20,35,82,True
1233,18,36,81,True
1234,20,19,42,False
1235,18,17,39,False
1236,22,30,73,True
1237,20,8,16,False
1238,21,24,52,False
1239,22,14,41,False
1240,21,7,11,False
1241,20,19,49,False
1242,21,36,91,True
1243,21,31,73,True
1244,23,33,77,True
1245,20,20,53,False
1246,21,29,63,True
1247,22,28,72,True
1248,23,5,13,False
1249,18,25,71,True
1250,20,13,29,False
1251,23,30,77,True
1252,18,35,92,True
1253,24,10,30,False
1254,21,22,46,False
1255,19,38,96,True
1256,19,32,89,True
1257,23,5,17,False
1258,24,28,77,True
1259,22,22,52,False
1260,21,19,41,False
1261,19,5,15,False
1262,22,37,88,True
1263,21,37,88,True
1264,19,14,36,False
1265,24,5,9,False
1266,23,32,85,True
1267,21,12,31,False
1268,24,15,39,False
1269,21,8,12,False
1270,24,26,65,True
1271,19,38,100,True
1272,20,31,81,True
1273,18,17,34,False
1274,19,7,15,False
1275,23,13,33,False
1276,24,15,44,False
1277,18,13,34,False
1278,18,19,41,False
1279,24,37,88,True
1280,22,23,52,False
1281,18,13,36,False
1282,21,19,56,False
1283,19,25,69,True
1284,23,22,51,False
1285,22,36,81,True
1286,23,14,26,False
1287,22,32,70,True
1288,21,11,37,False
1289,23,37,99,True
1290,19,21,46,False
1291,24,22,63,True
1292,24,8,13,False
1293,21,30,80,True
1294,19,26,72,True
1295,23,23,58,False
1296,23,21,51,False
1297,18,16,36,False
1298,22,30,84,True
1299,19,15,30,False
1300,23,9,15,False
1301,22,39,89,True
1302,18,12,30,False
1303,22,5,5,False
1304,24,7,15,False
1305,24,28,67,True
1306,19,26,56,False
1307,18,24,54,False
1308,23,5,11,False
1309,21,6,8,False
1310,22,30,77,True
1311,18,11,20,False
1312,18,6,5,False
1313,22,32,87,True
1314,22,10,27,False
1315,21,35,93,True
1316,20,36,83,True
1317,23,22,51,False
1318,24,30,68,True
1319,20,37,99,True
1320,18,23,57,False
1321,23,28,76,True
1322,19,37,84,True
1323,18,39,100,True
1324,22,27,68,True
1325,21,36,93,True
1326,20,33,91,True
1327,18,19,49,False
1328,24,32,78,True
1329,20,20,56,False
1330,24,24,55,False
1331,23,12,35,False
1332,24,19,40,False
1333,19,30,84,True
1334,23,17,43,False
1335,20,33,90,True
1336,24,17,52,False
1337,21,14,29,False
1338,18,21,45,False
1339,23,17,48,False
1340,19,14,33,False
1341,19,34,77,True
1342,19,11,31,False
1343,23,17,46,False
1344,22,10,27,False
1345,22,17,41,False
1346,24,14,40,False
1347,22,24,66,True
1348,21,35,86,True
1349,23,12,37,False
1350,23,35,93,True
1351,23,8,11,False
1352,20,22,56,False
1353,20,8,29,False
1354,24,13,29,False
1355,22,25,62,True
